entity_id,state,last_changed
sensor.node_9_node_status,unavailable,2024-09-18T23:24:16.229Z
sensor.node_9_node_status,alive,2024-09-18T23:26:03.933Z
button.node_9_ping,unavailable,2024-09-18T23:24:16.257Z
button.node_9_ping,unknown,2024-09-18T23:26:04.259Z
light.in_wall_paddle_dimmer_qfsw_500s_2,off,2024-09-17T06:29:33.280Z
light.in_wall_paddle_dimmer_qfsw_500s_2,on,2024-09-18T00:48:11.249Z
light.in_wall_paddle_dimmer_qfsw_500s_2,off,2024-09-18T07:45:32.175Z
light.in_wall_paddle_dimmer_qfsw_500s_2,on,2024-09-18T14:53:47.022Z
light.in_wall_paddle_dimmer_qfsw_500s_2,unavailable,2024-09-18T23:24:16.321Z
light.in_wall_paddle_dimmer_qfsw_500s_2,on,2024-09-18T23:26:05.679Z
light.in_wall_paddle_dimmer_qfsw_500s_2,off,2024-09-19T07:25:11.433Z
light.in_wall_paddle_dimmer_qfsw_500s_2,on,2024-09-19T15:07:24.446Z
light.in_wall_paddle_dimmer_qfsw_500s_2,off,2024-09-20T07:01:09.068Z
light.in_wall_paddle_dimmer_qfsw_500s_2,on,2024-09-20T15:28:25.395Z
light.in_wall_paddle_dimmer_qfsw_500s_2,off,2024-09-20T19:51:35.806Z
light.in_wall_paddle_dimmer_qfsw_500s_2,on,2024-09-21T01:39:27.939Z
light.in_wall_paddle_dimmer_qfsw_500s_2,off,2024-09-21T03:38:20.630Z
light.in_wall_paddle_dimmer_qfsw_500s_2,on,2024-09-21T04:00:03.632Z
light.in_wall_paddle_dimmer_qfsw_500s_2,off,2024-09-21T08:15:23.162Z
light.in_wall_paddle_dimmer_qfsw_500s_2,on,2024-09-21T15:42:55.380Z
light.in_wall_paddle_dimmer_qfsw_500s_2,off,2024-09-22T13:56:51.209Z
light.in_wall_paddle_dimmer_qfsw_500s_2,on,2024-09-23T00:23:16.989Z
light.in_wall_paddle_dimmer_qfsw_500s_2,off,2024-09-23T05:45:16.653Z
light.in_wall_paddle_dimmer_qfsw_500s_2,on,2024-09-23T15:01:59.059Z
light.in_wall_paddle_dimmer_qfsw_500s_2,off,2024-09-23T17:08:47.699Z
light.in_wall_paddle_dimmer_qfsw_500s_2,on,2024-09-24T00:36:41.463Z
update.in_wall_paddle_dimmer_qfsw_500s_firmware_2,unavailable,2024-09-18T23:24:16.329Z
update.in_wall_paddle_dimmer_qfsw_500s_firmware_2,off,2024-09-18T23:26:05.760Z
light.kitchen_ceiling_lights_basic,unavailable,2024-09-18T23:24:16.321Z
light.kitchen_ceiling_lights_basic,off,2024-09-18T23:26:05.678Z
event.kitchen_ceiling_lights_event_value,unavailable,2024-09-18T23:24:16.274Z
event.kitchen_ceiling_lights_event_value,2024-07-21T07:41:50.178+00:00,2024-09-18T23:26:05.626Z
event.kitchen_ceiling_lights_scene_001,2024-09-18T00:48:11.185+00:00,2024-09-18T00:48:11.185Z
event.kitchen_ceiling_lights_scene_001,2024-09-18T14:53:46.955+00:00,2024-09-18T14:53:46.955Z
event.kitchen_ceiling_lights_scene_001,unavailable,2024-09-18T23:24:16.274Z
event.kitchen_ceiling_lights_scene_001,2024-09-18T14:53:46.955+00:00,2024-09-18T23:26:05.627Z
event.kitchen_ceiling_lights_scene_001,2024-09-19T00:58:33.157+00:00,2024-09-19T00:58:33.157Z
event.kitchen_ceiling_lights_scene_001,2024-09-19T15:07:24.396+00:00,2024-09-19T15:07:24.396Z
event.kitchen_ceiling_lights_scene_001,2024-09-20T00:51:02.218+00:00,2024-09-20T00:51:02.218Z
event.kitchen_ceiling_lights_scene_001,2024-09-20T15:28:25.330+00:00,2024-09-20T15:28:25.330Z
event.kitchen_ceiling_lights_scene_001,2024-09-21T01:39:26.602+00:00,2024-09-21T01:39:26.602Z
event.kitchen_ceiling_lights_scene_001,2024-09-21T01:39:27.875+00:00,2024-09-21T01:39:27.875Z
event.kitchen_ceiling_lights_scene_001,2024-09-21T01:39:28.004+00:00,2024-09-21T01:39:28.004Z
event.kitchen_ceiling_lights_scene_001,2024-09-21T15:42:55.321+00:00,2024-09-21T15:42:55.321Z
event.kitchen_ceiling_lights_scene_001,2024-09-21T18:38:56.235+00:00,2024-09-21T18:38:56.235Z
event.kitchen_ceiling_lights_scene_001,2024-09-21T18:42:37.687+00:00,2024-09-21T18:42:37.687Z
event.kitchen_ceiling_lights_scene_001,2024-09-21T18:42:39.300+00:00,2024-09-21T18:42:39.300Z
event.kitchen_ceiling_lights_scene_001,2024-09-21T18:42:40.510+00:00,2024-09-21T18:42:40.510Z
event.kitchen_ceiling_lights_scene_001,2024-09-23T00:23:16.655+00:00,2024-09-23T00:23:16.655Z
event.kitchen_ceiling_lights_scene_001,2024-09-23T15:01:58.736+00:00,2024-09-23T15:01:58.737Z
event.kitchen_ceiling_lights_scene_001,2024-09-24T00:36:41.260+00:00,2024-09-24T00:36:41.260Z
event.kitchen_ceiling_lights_scene_002,2024-09-17T06:29:33.209+00:00,2024-09-17T06:29:33.209Z
event.kitchen_ceiling_lights_scene_002,2024-09-17T07:36:50.563+00:00,2024-09-17T07:36:50.563Z
event.kitchen_ceiling_lights_scene_002,2024-09-18T07:45:29.883+00:00,2024-09-18T07:45:29.883Z
event.kitchen_ceiling_lights_scene_002,unavailable,2024-09-18T23:24:16.274Z
event.kitchen_ceiling_lights_scene_002,2024-09-18T07:45:29.883+00:00,2024-09-18T23:26:05.627Z
event.kitchen_ceiling_lights_scene_002,2024-09-19T07:25:11.386+00:00,2024-09-19T07:25:11.386Z
event.kitchen_ceiling_lights_scene_002,2024-09-19T07:25:29.907+00:00,2024-09-19T07:25:29.908Z
event.kitchen_ceiling_lights_scene_002,2024-09-21T03:38:18.556+00:00,2024-09-21T03:38:18.556Z
event.kitchen_ceiling_lights_scene_002,2024-09-21T08:15:21.531+00:00,2024-09-21T08:15:21.531Z
event.kitchen_ceiling_lights_scene_002,2024-09-23T05:45:15.541+00:00,2024-09-23T05:45:15.542Z
event.kitchen_ceiling_lights_scene_002,2024-09-23T17:08:47.405+00:00,2024-09-23T17:08:47.405Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-17T06:29:33+00:00,2024-09-17T06:29:33.208Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-17T07:36:50+00:00,2024-09-17T07:36:50.496Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-17T13:50:06+00:00,2024-09-17T13:50:06.966Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-17T13:50:08+00:00,2024-09-17T13:50:08.291Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-18T00:48:11+00:00,2024-09-18T00:48:11.182Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-18T07:45:29+00:00,2024-09-18T07:45:29.877Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-18T07:45:30+00:00,2024-09-18T07:45:30.747Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-18T07:45:31+00:00,2024-09-18T07:45:31.120Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-18T07:45:32+00:00,2024-09-18T07:45:32.164Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-18T13:51:27+00:00,2024-09-18T13:51:27.651Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-18T13:51:28+00:00,2024-09-18T13:51:28.297Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-18T14:53:46+00:00,2024-09-18T14:53:46.952Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-18T14:53:47+00:00,2024-09-18T14:53:47.210Z
sensor.kitchen_ceiling_lights_last_seen,unavailable,2024-09-18T23:24:16.229Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-18T23:25:15+00:00,2024-09-18T23:26:04.271Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-19T00:58:32+00:00,2024-09-19T00:58:32.811Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-19T00:58:33+00:00,2024-09-19T00:58:33.154Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-19T07:25:11+00:00,2024-09-19T07:25:11.383Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-19T07:25:29+00:00,2024-09-19T07:25:29.861Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-19T13:52:48+00:00,2024-09-19T13:52:48.441Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-19T13:52:49+00:00,2024-09-19T13:52:49.194Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-19T13:52:50+00:00,2024-09-19T13:52:50.643Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-19T13:52:51+00:00,2024-09-19T13:52:51.423Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-19T15:07:24+00:00,2024-09-19T15:07:24.392Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-20T00:51:02+00:00,2024-09-20T00:51:02.077Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-20T07:01:09+00:00,2024-09-20T07:01:09.166Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-20T07:01:10+00:00,2024-09-20T07:01:10.933Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-20T13:54:09+00:00,2024-09-20T13:54:09.260Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-20T13:54:10+00:00,2024-09-20T13:54:10.325Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-20T13:54:11+00:00,2024-09-20T13:54:11.486Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-20T13:54:17+00:00,2024-09-20T13:54:17.326Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-20T15:28:25+00:00,2024-09-20T15:28:25.328Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-20T19:51:35+00:00,2024-09-20T19:51:35.989Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-20T19:51:37+00:00,2024-09-20T19:51:37.704Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T01:39:26+00:00,2024-09-21T01:39:26.594Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T01:39:27+00:00,2024-09-21T01:39:27.285Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T01:39:28+00:00,2024-09-21T01:39:28.006Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T03:38:18+00:00,2024-09-21T03:38:18.554Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T03:38:20+00:00,2024-09-21T03:38:20.629Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T03:38:21+00:00,2024-09-21T03:38:21.115Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T04:00:03+00:00,2024-09-21T04:00:03.807Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T08:15:21+00:00,2024-09-21T08:15:21.531Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T08:15:23+00:00,2024-09-21T08:15:23.110Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T13:55:30+00:00,2024-09-21T13:55:30.267Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T13:55:31+00:00,2024-09-21T13:55:31.478Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T15:42:55+00:00,2024-09-21T15:42:55.316Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T18:38:56+00:00,2024-09-21T18:38:56.179Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T18:42:37+00:00,2024-09-21T18:42:37.617Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T18:42:39+00:00,2024-09-21T18:42:39.293Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-21T18:42:40+00:00,2024-09-21T18:42:40.446Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-22T13:56:51+00:00,2024-09-22T13:56:51.384Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-22T13:56:53+00:00,2024-09-22T13:56:53.490Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-23T00:23:16+00:00,2024-09-23T00:23:16.654Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-23T05:45:15+00:00,2024-09-23T05:45:15.540Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-23T05:45:16+00:00,2024-09-23T05:45:16.650Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-23T05:45:17+00:00,2024-09-23T05:45:17.915Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-23T05:45:18+00:00,2024-09-23T05:45:18.165Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-23T13:58:12+00:00,2024-09-23T13:58:12.953Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-23T13:58:13+00:00,2024-09-23T13:58:13.838Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-23T13:58:14+00:00,2024-09-23T13:58:14.153Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-23T15:01:58+00:00,2024-09-23T15:01:58.728Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-23T15:01:59+00:00,2024-09-23T15:01:59.058Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-23T17:08:47+00:00,2024-09-23T17:08:47.404Z
sensor.kitchen_ceiling_lights_last_seen,2024-09-24T00:36:41+00:00,2024-09-24T00:36:41.259Z
